name,lat,lon,説明,住所
 八王子市役所元八王子事務所,35.671537880952,139.29313579639,元八王子第二投票区　 投票所,大楽寺町419番地１
 八王子市横川会館,35.664670682193,139.303935364174,元八王子第三投票区　 投票所,横川町559番地２
 市立城山小学校,35.659350777968,139.277657267553,元八王子第四投票区　 投票所,元八王子町二丁目1767番地 
 市立元八王子東小学校,35.671434149471,139.304364454062,元八王子第五投票区　 投票所,叶谷町1521番地　 
 市立横川小学校,35.667295740855,139.307198409881,元八王子第六投票区　 投票所,横川町305番地　 
 高尾の森わくわくビレッジ,35.673562042377,139.276476881046,元八王子第七投票区　 投票所,川町55番地
 八王子市役所恩方事務所,35.667764602554,139.249282742422,恩方第一投票区　投票所,下恩方町3395番地 
 市立恩方第二小学校,35.672889725222,139.210550098242,恩方第二投票区　投票所,上恩方町2193番地 
 小津町会館,35.679605253873,139.235238467502,恩方第三投票区　投票所,小津町560番地
 市立元木小学校,35.681179131272,139.264460537661,恩方第四投票区　投票所,下恩方町515番地１
 八王子市役所川口事務所,35.693165835959,139.279335968347,川口第一投票区　投票所,川口町908番地１
 市立陶鎔小学校,35.688304342239,139.30852207999,川口第二投票区　投票所,犬目町56番地
 市立上川口小学校,35.705688509958,139.250086164649,川口第三投票区　投票所,上川町1099番地　 
 市立美山小学校,35.690847309429,139.248324653004,川口第四投票区　投票所,美山町1892番地　 
 市立楢原小学校,35.675852210436,139.307681608825,川口第五投票区　投票所,楢原町1287番地２
 八王子市川口市民センタ－,35.686652564374,139.298796908826,川口第六投票区　投票所,川口町3838番地   
 八王子市役所加住事務所,35.700766683416,139.316104095333,加住第一投票区　投票所,加住町一丁目170番地２ 
 左入会館,35.687970202926,139.344773553004,加住第二投票区　投票所,左入町422番地　 
 谷野町会館,35.685737609878,139.327954128215,加住第三投票区　投票所,谷野町453番地　 
 八王子市戸吹会館,35.708421386967,139.296209410676,加住第四投票区　投票所,戸吹町168番地５
 高月集会所,35.714073737314,139.321075253005,加住第五投票区　投票所,高月町222番地１
 市立由井第三小学校,35.642511360061,139.327729351152,由井第一投票区　投票所,小比企町1201番地 
 八王子市由井市民センター,35.642893701692,139.339874103408,由井第二投票区　投票所,片倉町702番地１
 市立みなみ野小中学校（みなみ野小学校舎）,35.632802099128,139.323116621014,由井第三投票区　投票所,みなみ野六丁目14番１号
 市立片倉台小学校,35.631531985059,139.346114995329,由井第四投票区　投票所,片倉町1318番地　 
 市立七国小学校,35.620915571277,139.320736181836,由井第五投票区　投票所,七国五丁目27番１号　 
 八王子市役所北野事務所,35.646261382086,139.353110724166,北野第一投票区　投票所,北野町549番地５
 市立長沼小学校,35.642326965339,139.366143092933,北野第二投票区　投票所,長沼町707番地３
 絹ヶ丘町会会館,35.637283007277,139.357644170192,北野第三投票区　投票所,絹ヶ丘二丁目13番４号
 市立高嶺小学校,35.628353808756,139.350808779987,北野第四投票区　投票所,北野台四丁目21番１号
 市立第八小学校,35.671651459752,139.360735853003,石川第一投票区　投票所,石川町2065番地　 
 八王子市役所石川事務所,35.680966835334,139.366141201428,石川第二投票区　投票所,石川町481番地　 
 市立宇津木台小学校,35.687262717728,139.354051281839,石川第三投票区　投票所,久保山町二丁目18番地
 市立高倉小学校,35.662526316366,139.365810368345,石川第四投票区　投票所,高倉町67番地２ 
